"VMName","RuleName","Severity","Status","Detail","Remediation","Timestamp"
"vm-web01-prod","Tagging","Medium","Pass","All required tags present: Environment, Owner, CostCenter, Application.","None required.","2026-07-21T23:06:43.0468172+00:00"
"vm-web01-prod","NsgAssociation","High","Pass","NSG 'nsg-web01-prod' is associated at the NIC level.","None required.","2026-07-21T23:06:43.0636116+00:00"
"vm-web01-prod","BackupPosture","High","Pass","VM is registered in a Recovery Services vault (vault: rsv-contoso-prod-eastus2). Note: tag-based intent — live backup registration not verified in this run.","None required.","2026-07-21T23:06:43.0745672+00:00"
"vm-web01-prod","MonitoringPosture","Medium","Pass","Monitoring confirmed via monitoring extension 'AzureMonitorWindowsAgent'.","None required.","2026-07-21T23:06:43.0846952+00:00"
"vm-web01-prod","DiskSettings","Medium","Pass","OS disk SKU 'Premium_LRS' is allowed and EncryptionAtHost is enabled.","None required.","2026-07-21T23:06:43.0927034+00:00"
"vm-web01-prod","IdentitySettings","High","Pass","VM has a Managed Identity configured (Identity.Type = 'SystemAssigned').","None required.","2026-07-21T23:06:43.0972776+00:00"
"vm-app02-prod","Tagging","Medium","Pass","All required tags present: Environment, Owner, CostCenter, Application.","None required.","2026-07-21T23:06:43.0980976+00:00"
"vm-app02-prod","NsgAssociation","High","Fail","No NSG is associated with the VM NIC or its subnet.","Associate a Network Security Group with the NIC or subnet, e.g.: $nsg = Get-AzNetworkSecurityGroup -Name '<nsgName>' -ResourceGroupName '<rg>'; $nic = Get-AzNetworkInterface -Name '<nicName>' -ResourceGroupName '<rg>'; $nic.NetworkSecurityGroup = $nsg; Set-AzNetworkInterface -NetworkInterface $nic. Prefer least-privilege inbound rules (deny-by-default, allow only required ports/sources).","2026-07-21T23:06:43.0999202+00:00"
"vm-app02-prod","BackupPosture","High","Fail","VM has no 'BackupPolicy' tag and is not registered in a Recovery Services vault.","Enable backup: Enable-AzRecoveryServicesBackupProtection -ResourceGroupName '<rg>' -Name '<policyName>' -VaultId '<vaultId>' -Item '<vmName>', or at minimum tag the VM with BackupPolicy=<policyName> to record intent until backup is enabled.","2026-07-21T23:06:43.1011670+00:00"
"vm-app02-prod","MonitoringPosture","Medium","Fail","No 'MonitoringEnabled=true' tag and no recognized monitoring agent extension (AzureMonitorWindowsAgent, AzureMonitorLinuxAgent, MicrosoftMonitoringAgent, OmsAgentForLinux) found.","Install Azure Monitor Agent: Set-AzVMExtension -ResourceGroupName '<rg>' -VMName 'vm-app02-prod' -Name 'AzureMonitorAgent' -ExtensionType 'AzureMonitorWindowsAgent' -Publisher 'Microsoft.Azure.Monitor' -TypeHandlerVersion '1.0', or tag the VM with MonitoringEnabled=true once monitoring is confirmed.","2026-07-21T23:06:43.1020318+00:00"
"vm-app02-prod","DiskSettings","Medium","Fail","Disk settings non-compliant: OS disk SKU 'Standard_LRS' is not in the allowed list (Premium_LRS, PremiumV2_LRS, StandardSSD_LRS, StandardSSD_ZRS, Premium_ZRS); EncryptionAtHost is not enabled.","Migrate the OS disk to an allowed SKU, e.g.: Update-AzDisk -ResourceGroupName '<rg>' -DiskName 'vm-app02-prod_OsDisk_1' -DiskUpdate (New-AzDiskUpdateConfig -SkuName 'StandardSSD_LRS') | Enable encryption at host (requires VM to be stopped): Update-AzVM -ResourceGroupName '<rg>' -VM $vm -EncryptionAtHost $true, then Start-AzVM","2026-07-21T23:06:43.1031920+00:00"
"vm-app02-prod","IdentitySettings","High","Fail","VM has no Managed Identity configured (Identity.Type = 'None').","Enable a System-Assigned identity: Update-AzVM -ResourceGroupName '<rg>' -VM $vm -IdentityType SystemAssigned, then grant least-privilege RBAC roles as needed. Avoid storing credentials/secrets inside scripts or custom script extensions.","2026-07-21T23:06:43.1035783+00:00"
"vm-db03-prod","Tagging","Medium","Pass","All required tags present: Environment, Owner, CostCenter, Application.","None required.","2026-07-21T23:06:43.1043134+00:00"
"vm-db03-prod","NsgAssociation","High","Pass","NSG 'nsg-db03-prod' is associated at the NIC level.","None required.","2026-07-21T23:06:43.1050328+00:00"
"vm-db03-prod","BackupPosture","High","Pass","VM is registered in a Recovery Services vault (vault: rsv-contoso-prod-centralus). Note: tag-based intent — live backup registration not verified in this run.","None required.","2026-07-21T23:06:43.1054470+00:00"
"vm-db03-prod","MonitoringPosture","Medium","Pass","Monitoring confirmed via monitoring extension 'AzureMonitorLinuxAgent'.","None required.","2026-07-21T23:06:43.1058480+00:00"
"vm-db03-prod","DiskSettings","Medium","Pass","OS disk SKU 'Premium_LRS' is allowed and EncryptionAtHost is enabled.","None required.","2026-07-21T23:06:43.1062496+00:00"
"vm-db03-prod","IdentitySettings","High","Pass","VM has a Managed Identity configured (Identity.Type = 'UserAssigned').","None required.","2026-07-21T23:06:43.1066095+00:00"
"vm-batch04-nonprod","Tagging","Medium","Fail","Missing required tag(s): CostCenter.","Add the missing tag(s) using: Update-AzTag -ResourceId <vmResourceId> -Tag @{ CostCenter='<value>' } -Operation Merge. Alternatively use scripts/remediate-vm-baseline.ps1 which automates this safely with -WhatIf support.","2026-07-21T23:06:43.1084294+00:00"
"vm-batch04-nonprod","NsgAssociation","High","Pass","NSG 'nsg-dev-batch-subnet' is associated at the Subnet level.","None required.","2026-07-21T23:06:43.1091764+00:00"
"vm-batch04-nonprod","BackupPosture","High","Fail","VM has no 'BackupPolicy' tag and is not registered in a Recovery Services vault.","Enable backup: Enable-AzRecoveryServicesBackupProtection -ResourceGroupName '<rg>' -Name '<policyName>' -VaultId '<vaultId>' -Item '<vmName>', or at minimum tag the VM with BackupPolicy=<policyName> to record intent until backup is enabled.","2026-07-21T23:06:43.1095999+00:00"
"vm-batch04-nonprod","MonitoringPosture","Medium","Fail","No 'MonitoringEnabled=true' tag and no recognized monitoring agent extension (AzureMonitorWindowsAgent, AzureMonitorLinuxAgent, MicrosoftMonitoringAgent, OmsAgentForLinux) found.","Install Azure Monitor Agent: Set-AzVMExtension -ResourceGroupName '<rg>' -VMName 'vm-batch04-nonprod' -Name 'AzureMonitorAgent' -ExtensionType 'AzureMonitorWindowsAgent' -Publisher 'Microsoft.Azure.Monitor' -TypeHandlerVersion '1.0', or tag the VM with MonitoringEnabled=true once monitoring is confirmed.","2026-07-21T23:06:43.1100834+00:00"
"vm-batch04-nonprod","DiskSettings","Medium","Fail","Disk settings non-compliant: EncryptionAtHost is not enabled.","Enable encryption at host (requires VM to be stopped): Update-AzVM -ResourceGroupName '<rg>' -VM $vm -EncryptionAtHost $true, then Start-AzVM","2026-07-21T23:06:43.1105471+00:00"
"vm-batch04-nonprod","IdentitySettings","High","Pass","VM has a Managed Identity configured (Identity.Type = 'SystemAssigned').","None required.","2026-07-21T23:06:43.1109188+00:00"
"vm-jump05-mgmt","Tagging","Medium","Pass","All required tags present: Environment, Owner, CostCenter, Application.","None required.","2026-07-21T23:06:43.1117546+00:00"
"vm-jump05-mgmt","NsgAssociation","High","Pass","NSG 'nsg-jump05-mgmt' is associated at the NIC level.","None required.","2026-07-21T23:06:43.1123870+00:00"
"vm-jump05-mgmt","BackupPosture","High","Pass","VM is registered in a Recovery Services vault (vault: rsv-contoso-prod-eastus2). Note: tag-based intent — live backup registration not verified in this run.","None required.","2026-07-21T23:06:43.1128131+00:00"
"vm-jump05-mgmt","MonitoringPosture","Medium","Pass","Monitoring confirmed via monitoring extension 'AzureMonitorWindowsAgent'.","None required.","2026-07-21T23:06:43.1132592+00:00"
"vm-jump05-mgmt","DiskSettings","Medium","Pass","OS disk SKU 'Premium_LRS' is allowed and EncryptionAtHost is enabled.","None required.","2026-07-21T23:06:43.1136809+00:00"
"vm-jump05-mgmt","IdentitySettings","High","Pass","VM has a Managed Identity configured (Identity.Type = 'SystemAssigned').","None required.","2026-07-21T23:06:43.1141169+00:00"
